Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hair root	21/54	4.7149115544145646E-21	2.838376755757568E-18	0	0	28.74537037037037	1345.3855747317962	KRTAP12-1;KRTAP10-3;KRTAP10-2;KRTAP5-9;KRTAP12-3;KRTAP10-5;KRTAP5-8;KRTAP10-4;KRTAP12-2;KRTAP5-7;KRTAP10-7;KRTAP10-10;KRTAP12-4;KRTAP10-6;KRTAP10-11;KRTAP10-9;KRTAP10-12;KRTAP10-8;KRTAP5-10;KRTAP5-11;KRTAP10-1
Scalp	9/57	4.971653866413576E-6	0.0014964678137904864	0	0	8.234375	100.55619480849946	KRTAP12-1;KRTAP10-3;KRTAP10-2;KRTAP12-2;KRTAP5-7;KRTAP10-7;KRTAP10-10;KRTAP10-9;KRTAP10-1
dm15	3/7	3.7750536192736637E-4	0.07575274262675818	0	0	32.571666666666665	256.727459379804	DMPK;SIX5;DMWD
Leukocyte	12/203	0.00236664235697422	0.35617967472462014	0	0	2.75755956832995	16.672985692130293	CEACAM3;CEACAM1;MTNR1A;NTF3;SH2D1B;REV3L;RIN3;C9ORF89;ICOSLG;SEC63;SKAP2;IL18BP
Gastrointestinal mucosa	3/14	0.0034883881501613224	0.42000193327942326	0	0	11.84	66.9944554909185	CD79A;TFF3;TFF2
WRL-68 cell	2/6	0.007228401600521468	0.6216425376448462	0	0	21.66629711751663	106.8091540501661	CMPK1;LYPD4
HS-68 cell	2/6	0.007228401600521468	0.6216425376448462	0	0	21.66629711751663	106.8091540501661	ECM2;COL5A1
Olfactory receptor neuron	2/9	0.01658459325763912	0.695001223340954	0	0	12.378840671523598	50.7443479958173	ANO2;UMODL1
Laryngeal cell line	2/9	0.01658459325763912	0.695001223340954	0	0	12.378840671523598	50.7443479958173	CD79A;TRIM21
Vomeronasal organ	2/10	0.02042319421221281	0.695001223340954	0	0	10.830931263858092	42.14406391785023	ANO2;UMODL1
KG-1 cell	2/10	0.02042319421221281	0.695001223340954	0	0	10.830931263858092	42.14406391785023	MESDC2;FOLR2
Accessory sex gland	2/11	0.02459208203867806	0.695001223340954	0	0	9.6270017245627	35.67122558002199	UAP1;SPATA5
Periodontal ligament	4/49	0.024687861284764943	0.695001223340954	0	0	3.8608265280871072	14.290631651237964	ITGB1;LAMC3;ASPN;FBN1
Trigeminal nerve	3/31	0.032460273189451806	0.695001223340954	0	0	4.647380952380952	15.930005688621698	C21ORF33;NTF3;FAT1
da1	2/13	0.033853860144283036	0.695001223340954	0	0	7.875831485587583	26.665220376387897	STIL;CMC2
Sciatic nerve	3/32	0.035233458565907906	0.695001223340954	0	0	4.486896551724138	15.012075060234297	WDR47;GDNF;NTF3
Ookinete	2/15	0.04424201826680226	0.695001223340954	0	0	6.66348285860481	20.777274643794836	VWF;CDYL2
SCHNEIDER-2 cell	2/16	0.049820966246777156	0.695001223340954	0	0	6.1872030408615775	18.557397954913398	SNX18;MSL2
Tear gland	2/17	0.055637545508828906	0.695001223340954	0	0	5.774427198817443	16.681725565490364	CD79A;TRIM21
