Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hemoglobin A2	19/158	3.3559504817965782E-9	1.5638729245172055E-6	0	0	6.11265457679939	119.27336072142083	OR51F2;NRP1;OR51G2;OR51F1;OR52J3;OR51G1;OR52E2;PDE4D;OR51E2;YARS2;OR51L1;OR52R1;MMP26;MLANA;OR51S1;OR52B4;DNM1L;TRIM21;OR51A7
Adiponectin	10/156	0.002991661415810447	0.6970571098838342	0	0	2.9996289310120905	17.433622539672132	GPSM2;SPAG17;DUT;ARL15;WDR3;SLC12A1;ASTN2;OR8S1;MAP3K7;FBN1
Hormones	6/76	0.007515769867151326	0.8910668055141981	0	0	3.7348034515819752	18.265996766808748	SLC24A4;UBXN2A;CPSF2;ANO2;ARHGAP24;ATAD2B
Live Birth	5/67	0.017858408291273015	0.8910668055141981	0	0	3.5075244815668203	14.118771052669754	DPP6;OLFML2B;COL2A1;NFE2L3;PPP2R3A
Natriuretic Peptide, Brain	4/45	0.018620834497104912	0.8910668055141981	0	0	4.238361670921832	16.883404327784355	KIAA1324;DYNLRB2;MYRIP;KLKB1
Gestational Age	5/68	0.018928598927322442	0.8910668055141981	0	0	3.451672335600907	13.693064879315282	DPP6;OLFML2B;COL2A1;NFE2L3;PPP2R3A
Skin	2/10	0.02042319421221281	0.8910668055141981	0	0	10.830931263858092	42.14406391785023	FCN1;OLFM1
Triglycerides	35/1082	0.021976888244311207	0.8910668055141981	0	0	1.4795062676226904	5.648405636361147	FCN1;NRP1;PLGRKT;PNMAL1;AIRE;KIAA0087;TMTC2;SNX10;SOBP;FBLN5;FGD4;RXRA;SNAPC3;BEND3;FYN;DNM1L;MAP3K7;ARL15;PDE4D;CCDC59;FAM46A;POU6F2;PPP2R3A;RANBP6;ARHGAP26;OLFM1;MARCO;METTL25;CCDC8;DMRTA1;PCCB;CLDN12;NFE2L3;CDK14;CDH18
Binge-Eating Disorder	4/48	0.02307257745545188	0.8910668055141981	0	0	3.9487750556792873	14.883369484157523	ARHGAP8;PRR5-ARHGAP8;DYNLRB2;ABCG1
Erythrocyte Indices	28/830	0.023874840853985273	0.8910668055141981	0	0	1.5398562417485697	5.751255362981989	OR51F2;OR51F1;OR52J3;GALNT13;OR51D1;KIAA0087;SNX10;DPP6;OR51S1;TRIM68;OR52B4;STXBP6;BANF2;LRRC4C;MAP3K7;SNX5;OR51G2;OR52I2;OR51G1;SLC37A1;OR52I1;CMC2;OR52E2;CDYL2;RSPH1;OR52R1;GDNF;OR51T1
Femur Head Necrosis	2/11	0.02459208203867806	0.8910668055141981	0	0	9.6270017245627	35.67122558002199	ASTN2;ABCG1
Serologic Tests	2/11	0.02459208203867806	0.8910668055141981	0	0	9.6270017245627	35.67122558002199	NUMA1;FAM46A
Peroxidase	3/28	0.02485808684910853	0.8910668055141981	0	0	5.205866666666667	19.23345001814662	BFSP1;PDE4D;ARHGAP26
Corneal Pachymetry	3/30	0.029806194003405978	0.9921204575419418	0	0	4.8197530864197535	16.931980826149537	SLC24A4;COL5A1;CPSF2
Calcium-Binding Proteins	3/31	0.032460273189451806	0.9999951178411229	0	0	4.647380952380952	15.930005688621698	MAPK10;PDE4D;SPATA5
Adrenal Cortex Hormones	3/35	0.04425800291766027	0.9999951178411229	0	0	4.065625	12.675476581709093	DPP6;MAP3K7;KIAA0825
Corneal Topography	4/59	0.04456081613473244	0.9999951178411229	0	0	3.1572383073496657	9.82185381257482	FOXE3;COL5A1;FAM46A;CMPK1
Lycopene	4/61	0.04935600861159427	0.9999951178411229	0	0	3.0461454303911224	9.164924857413471	STEAP3;ZNF438;CENPP;C1QL2
Eye Color	2/17	0.055637545508828906	0.9999951178411229	0	0	5.774427198817443	16.681725565490364	SLC24A4;CPSF2
Hemoglobin A, Glycosylated	12/323	0.06509157669777683	0.9999951178411229	0	0	1.683050068902159	4.598025682244574	OLFM1;DPP6;ZEB1;LAMC3;COL11A1;ABL1;EN1;PIK3C3;TSPEAR;EXOSC2;RIBC2;SMC1B
Tuberculosis	4/67	0.06536879459445086	0.9999951178411229	0	0	2.7551878954996996	7.515354349367599	DYNC2H1;C2CD2;DMRTA1;ASTN2
Zinc	2/19	0.06792979177564652	0.9999951178411229	0	0	5.094561106038868	13.700704251503579	GALNT13;RPRM
Amino Acids	4/70	0.07427247035510719	0.9999951178411229	0	0	2.629547141796585	6.836861791095295	MLANA;SLC16A10;CENPN;KLKB1
Cholangitis, Sclerosing	3/44	0.07734488490992902	0.9999951178411229	0	0	3.171707317073171	8.117924086898226	PRKD2;UBASH3A;MAP3K7
Subcutaneous Fat, Abdominal	4/74	0.08704252222500376	0.9999951178411229	0	0	2.4787782373528477	6.051586365296916	KIAA0087;SNX10;PPP2R3A;BICD2
Crown-Rump Length	3/48	0.09469084952290208	0.9999951178411229	0	0	2.8891851851851853	6.810207927290773	ITSN2;UBXN2A;ATAD2B
Hair Color	3/48	0.09469084952290208	0.9999951178411229	0	0	2.8891851851851853	6.810207927290773	SLC24A4;CPSF2;SLC24A5
Bronchial Provocation Tests	2/23	0.09480062829980636	0.9999951178411229	0	0	4.123323830640904	9.714465353479358	PDSS2;SOBP
Social Responsibility	3/49	0.09925626507447145	0.9999951178411229	0	0	2.826231884057971	6.528737634238072	COL5A1;FAM46A;TRABD2B
Hemoglobins	13/387	0.10323216009150371	0.9999951178411229	0	0	1.514639037433155	3.439404226499084	SPAG16;OR51F2;OR51G2;OR51F1;OR51G1;OR52I2;OR52I1;FGF1;CDYL2;OR52R1;OR51S1;RIN3;UBASH3A
Fetal Hemoglobin	8/210	0.10566555572348568	0.9999951178411229	0	0	1.7216598064300812	3.869389624502711	OR51G2;OR51G1;OR52I2;OR52I1;FUBP3;OR51S1;OR51D1;TRIM68
CHGA Protein, Human	1/5	0.10824467598320843	0.9999951178411229	0	0	10.809181415929203	24.032713438834104	KLKB1
Contrast Sensitivity	1/5	0.10824467598320843	0.9999951178411229	0	0	10.809181415929203	24.032713438834104	SPAG16
Irritable Bowel Syndrome	1/5	0.10824467598320843	0.9999951178411229	0	0	10.809181415929203	24.032713438834104	SPATA5
Apolipoprotein A-IV	1/5	0.10824467598320843	0.9999951178411229	0	0	10.809181415929203	24.032713438834104	KLKB1
Antioxidants	2/26	0.11659551024022426	0.9999951178411229	0	0	3.6073540280857355	7.752364374970833	PCSK2;SPAG16
Pancreatic Carcinoma	4/84	0.12316764829771511	0.9999951178411229	0	0	2.1678173719376392	4.539862341435283	DPP6;TFF2;TFF1;BICD1
Antibodies, Antiphospholipid	2/27	0.12411795809818417	0.9999951178411229	0	0	3.4628824833702883	7.22538356889579	DSTN;DYNLRB2
Aortic Aneurysm, Thoracic	1/6	0.12844795376535958	0.9999951178411229	0	0	8.646902654867256	17.745445882591248	FBN1
Aspirin	1/6	0.12844795376535958	0.9999951178411229	0	0	8.646902654867256	17.745445882591248	TMC3
Gases	1/6	0.12844795376535958	0.9999951178411229	0	0	8.646902654867256	17.745445882591248	PDE4D
Interferons	1/6	0.12844795376535958	0.9999951178411229	0	0	8.646902654867256	17.745445882591248	EN1
Thyroid Gland	1/6	0.12844795376535958	0.9999951178411229	0	0	8.646902654867256	17.745445882591248	DYNLRB2
Gemcitabine	2/28	0.13175333773823547	0.9999951178411229	0	0	3.3295241344021833	6.748358618457419	MAPK10;PDE4D
Vitamin D	3/56	0.13351297666939319	0.9999951178411229	0	0	2.4520754716981132	4.937392755497576	C7ORF62;ZNF804B;NADSYN1
Uterine Cervical Neoplasms	2/30	0.14732745956583565	0.9999951178411229	0	0	3.091384225530567	5.920302367450678	ZNF804B;EN1
Dust	1/7	0.148194502524979	0.9999951178411229	0	0	7.205383480825959	13.756731866102179	GALNT13
Etoposide	1/7	0.148194502524979	0.9999951178411229	0	0	7.205383480825959	13.756731866102179	TRABD2B
Gallbladder Neoplasms	1/7	0.148194502524979	0.9999951178411229	0	0	7.205383480825959	13.756731866102179	KIAA0825
Heroin Dependence	1/7	0.148194502524979	0.9999951178411229	0	0	7.205383480825959	13.756731866102179	PKIA
Pharyngeal Neoplasms	1/7	0.148194502524979	0.9999951178411229	0	0	7.205383480825959	13.756731866102179	LAMC3
Fibrinogen	13/415	0.15049166931295438	0.9999951178411229	0	0	1.4070838986883762	2.664802393792083	PCSK2;STARD3NL;COL11A1;F11;PPP2R3A;BICD1;PCCB;AKNAD1;RLN1;STXBP6;ASTN2;LRRC4C;UMODL1
Esthetics	3/60	0.15467936993740697	0.9999951178411229	0	0	2.27953216374269	4.254520849119151	DPP6;STAG1;PPP2R3A
Carotid Artery Diseases	4/92	0.15590749334513693	0.9999951178411229	0	0	1.969933184855234	3.6611059293863786	PCSK2;BFSP1;VPS41;CCDC171
Hepatitis C, Chronic	2/32	0.16325040075692396	0.9999951178411229	0	0	2.8849963045084994	5.2289694134835685	OLFM1;EN1
Brain Diseases	1/8	0.16749462446716165	0.9999951178411229	0	0	6.175726927939317	11.034813707226034	TSPEAR
Diet, High-Fat	1/8	0.16749462446716165	0.9999951178411229	0	0	6.175726927939317	11.034813707226034	BEND3
Factor VIII	1/8	0.16749462446716165	0.9999951178411229	0	0	6.175726927939317	11.034813707226034	VWF
Genotype	1/8	0.16749462446716165	0.9999951178411229	0	0	6.175726927939317	11.034813707226034	ZNF438
