Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Scalp	32/57	3.52353029557643E-33	2.6003653581354055E-30	0	0	40.56760655737705	3031.448665709078	KRT40;KRT33A;KRTAP4-4;KRTAP4-3;KRTAP1-5;KRTAP3-3;KRTAP2-4;KRTAP4-2;KRTAP3-2;KRTAP4-1;KRTAP2-3;KRTAP1-3;KRTAP3-1;KRTAP2-2;KRTAP2-1;KRTAP1-1;KRTAP9-4;KRTAP4-9;KRTAP9-3;KRTAP4-8;KRTAP9-2;KRTAP4-7;KRTAP4-6;KRTAP17-1;KRTAP4-5;KRT35;KRTAP9-9;KRTAP9-8;KRT39;KRTAP4-12;KRT38;KRTAP4-11
dr9	7/19	1.2231573865517848E-6	4.513450756376086E-4	0	0	17.77191601049869	241.94819782703001	HLA-DRB5;HLA-B;HLA-DPB1;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1
Cuticle	11/62	3.9259668220140145E-6	9.657878382154475E-4	0	0	6.5994530934402285	82.1493183886618	KRT33B;KRT33A;NEK9;KRT38;KRT36;KRT35;KRT34;KRTAP2-4;KRT32;KRT31;KRT40
Stratified epithelium	9/48	1.8717227343267483E-5	0.002993463118314411	0	0	7.043018592781626	76.6707667185031	KRTDAP;KRT19;KRT17;KRT16;KRT15;KRT14;KRT13;DMKN;SBSN
Columnar cell	6/19	2.0280915435734492E-5	0.002993463118314411	0	0	14.038461538461538	151.69723222143443	KRT19;KRT17;KRT14;KRT13;KRT20;LGR5
Psmb	5/19	2.6832822031011745E-4	0.030562571646054335	0	0	10.845481049562682	89.18564023848921	COL11A2;TAP2;HSD17B8;PSMB8;PSMB9
Skin epithelium	4/11	2.898888909517349E-4	0.030562571646054335	0	0	17.331840573219882	141.1853959031057	KRT17;KRT16;COL22A1;KRT14
Lymphocyte	10/84	3.52540371553052E-4	0.03232800133321737	0	0	4.1233321929524465	32.781915186685445	SERPINA1;ALDH5A1;CHAT;AGTR1;CXCR5;HLA-DPB1;SOX6;AIF1;COX6B1;AES
Plasma cell	21/286	3.942439186977728E-4	0.03232800133321737	0	0	2.436441527663841	19.09814621720047	SERPINA3;SERPINA1;TNXB;SERPINA10;SERPINA6;CP;THBS1;SERPINA4;C2;SERPINA5;ASGR2;C4B;C4A;APOM;HLA-DMB;APMAP;COL6A3;FAM65B;HYOU1;GPLD1;CFB
Epithelial stem cell	4/14	8.14253415837528E-4	0.06009190208880956	0	0	12.130407523510971	86.28648689646985	KRT19;KRT15;KRT14;LGR5
Plant candle	3/7	0.001046087907077731	0.07018298867485141	0	0	22.715962441314552	155.89278719020342	KIAA0753;EMR2;PSMB8
Uroepithelium	8/68	0.0014628167513440064	0.0899632302076564	0	0	4.0584647739221875	26.491188144456114	UPK1A;KRT17;UPK2;HMBS;KRT14;KRT13;SLC16A11;KRT20
KE-37 cell	3/8	0.0016338905042459107	0.09275470708719093	0	0	18.17183098591549	116.60484689653762	TMEM132D;CLEC10A;PDLIM5
Pavement epithelium	5/28	0.001786281059284675	0.0941625301251493	0	0	6.59852569790458	41.752959487262345	KRT19;KRT17;KRT16;KRT14;KRT13
Myenteric plexus	6/43	0.0023699091159984412	0.1133240631796937	0	0	4.926313105558388	29.77908818244503	PSENEN;NPY;CHAT;GAST;FOS;SLC18A3
