Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glomerulonephritis, Membranous	18/28	1.0072936958713821E-20	5.600552949044884E-18	0	0	55.81153846153846	2569.810734536269	PRRT1;FKBPL;EHMT2;HLA-B;C6ORF10;PPT2-EGFL8;STK19;BTNL2;AGPAT1;RNF5;PRRC2A;HLA-DMA;GPANK1;HLA-DMB;CSNK2B;DXO;EGFL8;HLA-DQA1
Diabetes Mellitus, Type 1	41/235	5.953604763796099E-19	1.6551021243353155E-16	0	0	6.73897456129818	282.8018753878898	SLC44A4;TNXB;NOTCH4;C6ORF10;PPT2-EGFL8;STK19;AGPAT1;RNF5;C2;BAG6;APOM;HLA-DMB;NEU1;HLA-DQA2;HLA-DOB;HLA-DQA1;MICA;MICB;HLA-DRB5;MSH5-SAPCD1;HSPA1L;TAP2;TAP1;ZBTB12;BTNL2;PSMB8;PRRC2A;NCR3;DDX39B;C6ORF47;MSH5;HLA-DRA;DXO;ATP6V1G2-DDX39B;PPT2;CFB;HLA-DRB1;HLA-DQB2;HSPA1B;HLA-DQB1;VWA7
Hepatitis B, Chronic	14/28	2.8398818187747538E-14	5.263247637462544E-12	0	0	30.802547770700638	960.8062801588198	RING1;EHMT2;NOTCH4;HLA-C;BTNL2;HSD17B8;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DQA2;CFB;HLA-DQB2;HLA-DPA1;HLA-DQB1
Complement C4	8/9	9.447644352102673E-12	1.3132225649422716E-9	0	0	244.25236593059938	6200.408759692554	NCR3;TNXB;HSPA1L;NOTCH4;TAP2;BTNL2;HLA-DOB;HLA-DQB2
Lupus Erythematosus, Systemic	42/487	6.882778405570814E-9	7.653649586994746E-7	0	0	2.975078651685393	55.914352398717085	DDX6;SLC44A4;TNXB;LRRC18;EHMT2;NOTCH4;TREH;C6ORF10;STK19;C2;BAG6;APOM;LY6G6C;HLA-DQA2;HLA-DOB;SLC15A4;HLA-DQA1;MICA;GPSM3;MICB;NTNG2;MSH5-SAPCD1;HLA-B;ZBTB12;BTNL2;PRRC2A;SETX;NCR3;GPANK1;MSH5;CSNK2B;HLA-DRA;DXO;SKIV2L;LY6G5B;WDFY4;CFB;HLA-DRB1;HLA-DQB2;HSPA1B;HLA-DQB1;VWA7
Lymphoma	6/13	1.512722396603248E-6	1.2015337893020084E-4	0	0	26.079514824797844	349.50721593382355	HLA-DRB5;HLA-DOB;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DQB1
Oligoclonal Bands	6/13	1.512722396603248E-6	1.2015337893020084E-4	0	0	26.079514824797844	349.50721593382355	HLA-DRA;BTNL2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Leprosy	13/84	2.624295730090467E-6	1.8238855324128746E-4	0	0	5.614344253118072	72.14824241554312	HLA-DRB5;COX4I1;HLA-B;TAP2;HLA-C;BTNL2;HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DQB2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Leukocytes	7/24	7.303627807367586E-6	4.5120189565515305E-4	0	0	12.541639647985178	148.33172008693057	HLA-DRB5;NCR3;LST1;HLA-B;HLA-C;HLA-DQA1;HLA-DRB1
Macular Degeneration	27/328	8.259542035460812E-6	4.5923053717162113E-4	0	0	2.7795640547767606	32.53241077087372	TNXB;EHMT2;NOTCH4;PPT2-EGFL8;STK19;AGPAT1;AIF1;RNF5;C2;ARHGAP21;TSPAN8;LY6G6F;NELFE;PRRT1;MSH5-SAPCD1;FKBPL;HLA-C;KLF15;C6ORF48;SAPCD1;MSH5;DXO;SKIV2L;LY6G5C;LGR5;EGFL8;CFB
Carcinoma, Hepatocellular	6/18	1.4262637363064326E-5	6.302144809332277E-4	0	0	15.209119496855346	169.7013357536636	HLA-DQA2;HLA-DQA1;HLA-DRB1;MICA;C2;HLA-DQB1
Breast Neoplasms	35/500	1.4728085728387493E-5	6.302144809332277E-4	0	0	2.3427574356521585	26.064943597807844	FTO;DOCK4;TNXB;EHMT2;NOTCH4;MCCD1;C6ORF10;SERPINA6;AIF1;C2;BAG6;HLA-DMB;FLRT2;HLA-DQA2;HLA-DOB;HLA-DQA1;MICA;NELFE;MICB;HLA-DRB5;LMO4;TAP2;HLA-B;HLA-C;BTNL2;PRRC2A;DDX39B;KIF26B;HLA-DRA;ATP6V1G2-DDX39B;BMPR1B;CFB;HLA-DRB1;HLA-DQB2;HLA-DQB1
Scleroderma, Systemic	8/36	1.4735230669302089E-5	6.302144809332277E-4	0	0	8.711131140153222	96.91367973189094	NOTCH4;HLA-DPB1;C6ORF10;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
Asparaginase	5/13	3.485619996529412E-5	0.0013842890843359665	0	0	18.985478806907377	194.87226152805178	GRIA1;PPT2-EGFL8;PPT2;AGPAT1;HLA-DRB1
Myasthenia Gravis	6/22	5.1368194301847764E-5	0.0019040477354551574	0	0	11.404481132075471	112.63625942248697	HLA-DRB5;ATP6V1G2;NFKBIL1;ATP6V1G2-DDX39B;HLA-DQA1;HLA-DRB1
Thioamides	5/15	7.709752750671124E-5	0.0026791390808582156	0	0	15.186813186813186	143.82579315331333	C6ORF48;TAP2;HLA-C;HLA-DRA;BTNL2
Immunoglobulin G	6/27	1.7773996727851943E-4	0.00581314245922687	0	0	8.686882300089847	75.01286990653685	HLA-DRA;BTNL2;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Psoriasis	22/292	2.0178131365171313E-4	0.00594063694755349	0	0	2.50857825567503	21.343801727967698	HLA-DRB5;TNXB;NOTCH4;LST1;HLA-B;HLA-C;PBX2;C6ORF10;BTNL2;AGPAT1;RUNX3;TNF;AGER;RNF5;C2;ABHD16A;HLA-DRA;HLA-DQA2;HLA-DOB;MICA;GPSM3;HLA-DQB1
Hodgkin Disease	8/51	2.0300737770416602E-4	0.00594063694755349	0	0	5.667962732007923	48.190539500387835	PRRT1;HLA-DRB5;FKBPL;HLA-DRA;BTNL2;HLA-DQA1;HLA-DRB1;MICB
Drug Hypersensitivity Syndrome	6/28	2.2012127038549618E-4	0.006119371316716794	0	0	8.291595197255575	69.82627542224563	TNXB;HLA-B;C6ORF10;HLA-C;GPSM3;MICA
Epstein-Barr Virus Nuclear Antigens	4/11	2.898888909517349E-4	0.007465629815904014	0	0	17.331840573219882	141.1853959031057	HLA-DRB5;BTNL2;HLA-DQA1;HLA-DRB1
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis	7/41	2.95402618614907E-4	0.007465629815904014	0	0	6.265308012968967	50.91923161442654	SERPINA11;SERPINA1;HLA-DPB1;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1
Agranulocytosis	10/83	3.1959285978080574E-4	0.007581407792814674	0	0	4.180032946072481	33.64283919034533	C6ORF48;EHMT2;HLA-B;TAP2;HLA-C;PBX2;HLA-DRA;BTNL2;AGER;MICA
Behcet Syndrome	15/167	3.272550126394823E-4	0.007581407792814674	0	0	3.022853185595568	24.257704084761446	ATP6V1G2;NFKBIL1;MCCD1;HLA-B;TAP2;HLA-C;NCR3;DDX39B;LTA;ATP6V1G2-DDX39B;FXYD5;HLA-DOB;WDFY4;MICA;MICB
Graves Disease	7/48	7.969112249535613E-4	0.017723305642967202	0	0	5.193739197234492	37.05612044313725	C6ORF48;TAP2;C6ORF10;HLA-DRA;BTNL2;MICA;HLA-DQB1
Liver Cirrhosis, Biliary	10/94	8.674020053538588E-4	0.018549058268336364	0	0	3.630575647980711	25.595587416064674	NEU1;CXCR5;C6ORF10;HLA-DRA;BTNL2;HLA-DQA2;HLA-DQA1;QKI;HLA-DRB1;HLA-DQB1
Giant Cell Arteritis	3/7	0.001046087907077731	0.021112082543809748	0	0	22.715962441314552	155.89278719020342	HLA-DRB5;HLA-DQA2;MICA
Glomerulonephritis, IGA	6/37	0.0010631984014868219	0.021112082543809748	0	0	5.881618989653074	40.26834886770995	HLA-DRA;HLA-DQA2;HLA-DQA1;PSMB8;HLA-DRB1;HLA-DQB1
Staphylococcus Aureus	5/26	0.0012605210675966823	0.024167231502888114	0	0	7.227704268520595	48.25381677544817	FLRT2;HLA-DRA;BTNL2;HLA-DRB1;PTPN3
Dermatitis, Atopic	11/127	0.0026332027999567205	0.048802025225864555	0	0	2.8917153942838407	17.17550083306341	TNXB;CYP24A1;DDX39B;HLA-B;C6ORF10;PBX2;ATP6V1G2-DDX39B;PFDN4;HLA-DQA1;HLA-DRB1;GPSM3
Hepatitis C, Chronic	5/32	0.003293580751392662	0.05797787228099814	0	0	5.619803476946334	32.12155993402824	NOTCH4;HLA-DQA2;SCG2;HLA-DQA1;HLA-DRB1
Beta 2-Microglobulin	3/10	0.0033368559586185982	0.05797787228099814	0	0	12.978537894030852	74.01304867102294	HLA-B;HLA-C;MICA
Lupus Erythematosus, Cutaneous	3/12	0.005831363672895879	0.09824964248879116	0	0	10.09337506520605	51.925412431929665	CSNK2B;LY6G5B;HLA-DQA1
Mycobacterium Infections	4/24	0.006702128194307854	0.10959950811868138	0	0	6.062068965517241	30.342656637718306	RING1;HLA-DPB1;HSD17B8;HLA-DQB2
Narcolepsy	4/25	0.007779596895393911	0.12358445353825756	0	0	5.773100462755635	28.03562348132631	HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DQB1
Respiratory System	3/14	0.00919837224811698	0.13080335920388042	0	0	8.257362355953905	38.71653219605774	NT5C3B;AP1S3;SCG2
Dermatomyositis	2/5	0.009645571452084707	0.13080335920388042	0	0	20.161458333333332	93.57449723759646	HLA-DPB1;HLA-DPA1
Herpesvirus 1, Human	2/5	0.009645571452084707	0.13080335920388042	0	0	20.161458333333332	93.57449723759646	TMEM132D;FARSB
Hormone Replacement Therapy	2/5	0.009645571452084707	0.13080335920388042	0	0	20.161458333333332	93.57449723759646	CYP24A1;PFDN4
Severe Dengue	2/5	0.009645571452084707	0.13080335920388042	0	0	20.161458333333332	93.57449723759646	RBFOX1;MICB
Uveomeningoencephalitic Syndrome	2/5	0.009645571452084707	0.13080335920388042	0	0	20.161458333333332	93.57449723759646	HLA-DQA1;HLA-DRB1
Mouth Neoplasms	3/15	0.011227393429022589	0.1486293034889657	0	0	7.568857589984351	33.979619008727596	LTB;TNF;HLA-DQB1
Surveys And Questionnaires	8/97	0.012788357315166341	0.1653564341216857	0	0	2.7319320880445184	11.90909328843116	RAB21;PRDM9;EHMT2;ZBTB12;SLC13A5;TMEM19;THAP2;C2
Thyroid Microsomal Antibodies	3/17	0.016000981478999202	0.20219422050735356	0	0	6.48692152917505	26.824103052282805	TAP2;HLA-DPB1;HLA-DOB
Lymphoma, Follicular	3/18	0.018751684668169157	0.23168748167782335	0	0	6.05414710485133	24.074144518880953	HLA-DRB5;CXCR5;HLA-DQB1
Lymphocytes	4/33	0.020581640626672046	0.24876939540064474	0	0	4.178791482001945	16.227734273533713	TNXB;HLA-B;C6ORF10;HLA-C
Adipose Tissue	11/174	0.025049533946927795	0.29344731029914933	0	0	2.05288129660778	7.568768168527792	RBFOX1;GLT1D1;KCNG4;IRX5;COL22A1;C6ORF10;BMPR1B;PDLIM5;SLC15A4;QKI;MICA
Interferon-beta	2/8	0.0253335807452503	0.29344731029914933	0	0	10.079166666666667	37.047231548025096	HLA-DQA1;HLA-DRB1
Growth	3/21	0.028474073886323188	0.31091695831296845	0	0	5.04434011476265	17.951602353806134	HLA-DRA;BTNL2;MICA
Nasopharyngeal Neoplasms	3/21	0.028474073886323188	0.31091695831296845	0	0	5.04434011476265	17.951602353806134	HLA-B;HLA-DQA1;HLA-DRB1
Atherosclerosis	7/92	0.02851936128410322	0.31091695831296845	0	0	2.4995090319592403	8.89118373983088	RBFOX1;SHC3;SEMA4D;PALM2;CKS2;PALM2-AKAP2;AKAP2
Stevens-Johnson Syndrome	3/22	0.03220365394499773	0.3443313767965142	0	0	4.7786014331603655	16.417723181570295	DDX39B;HLA-C;ATP6V1G2-DDX39B
Arthritis, Rheumatoid	15/276	0.03359692745300215	0.35245078611073954	0	0	1.7504445544372949	5.939819672586553	HLA-DRB5;RPLP1;CXCR5;C6ORF10;BTNL2;BATF;BAG6;APOM;HLA-DQA2;WDFY4;HLA-DQA1;HLA-DRB1;JDP2;MICA;HLA-DQB1
Phospholipids	7/98	0.03833115819087484	0.3871426602578194	0	0	2.3339794064203514	7.612255591058681	TMEM132C;RBFOX1;C10ORF128;PPT2-EGFL8;PPT2;AGPAT1;EGFL8
Pyloric Stenosis, Hypertrophic	2/10	0.03902601034496178	0.3871426602578194	0	0	7.55859375	24.516502329887953	MBNL1;SUCNR1
Oropharyngeal Neoplasms	3/24	0.04038538542257828	0.3871426602578194	0	0	4.32304940755645	13.873907588728258	KCNE4;BTBD11;HLA-DQB1
Puberty	3/24	0.04038538542257828	0.3871426602578194	0	0	4.32304940755645	13.873907588728258	HLA-DRA;BTNL2;MICA
Sjogren's Syndrome	3/24	0.04038538542257828	0.3871426602578194	0	0	4.32304940755645	13.873907588728258	HLA-DPB1;HLA-DQA1;HLA-DRB1
Neuropsychological Tests	15/287	0.04474176423030103	0.418820741098416	0	0	1.678687025049254	5.21542524299523	TMEM132D;TSHZ3;WSCD1;SMIM18;LMO4;BTBD11;VPS26B;ALG10;GTF2E2;AJAP1;KIAA1217;FAM135B;IMMP2L;NCAPD3;ACSS1
Antigens	2/11	0.04670303228075862	0.418820741098416	0	0	6.7184027777777775	20.584824562615186	HLA-DRA;BTNL2
Creutzfeldt-Jakob Syndrome	2/11	0.04670303228075862	0.418820741098416	0	0	6.7184027777777775	20.584824562615186	TSPAN8;LGR5
Granulomatosis With Polyangiitis	2/11	0.04670303228075862	0.418820741098416	0	0	6.7184027777777775	20.584824562615186	WSCD1;HLA-DPB1
Breast	5/62	0.04857167502927024	0.42866430660752786	0	0	2.6578809661516427	8.039331725671637	FTO;DOCK4;SERPINA1;RBPMS;SERPINA6
Antibodies	4/44	0.05196269512741986	0.4514259139194601	0	0	3.027899686520376	8.954193425942037	HLA-DRB5;HLA-DQA1;HLA-DRB1;HLA-DQB1
Esophageal Squamous Cell Carcinoma	2/12	0.054877379001292956	0.46941265730336745	0	0	6.04625	17.550172082630258	HLA-DQA1;HLA-DRB1
Neutrophils	12/223	0.05671182143204956	0.47775413206393263	0	0	1.7284585872263598	4.96028309232647	IGSF10;GMNN;KCNIP4;HLA-B;HLA-C;WFDC1;C6ORF10;HLA-DRA;BTBD11;C6ORF62;SKIV2L;C2
